config,kidney_med,tumor_med,tr_med,kidney_imp,kidney_pres,gfr_gradient,tr_low,tr_vhigh,tr_gradient,mean_feas,pct_ge95
baseline,2.747,10.901,3.963,3.295,2.235,1.474,0.825,7.46,9.05,91.5,69.4
K_x0.5,2.747,10.877,3.93,3.295,2.235,1.474,1.044,6.287,6.02,91.5,69.4
K_x2,2.747,10.911,3.981,3.295,2.235,1.474,0.681,9.08,13.34,91.5,69.4
gamma_0.6,2.747,10.889,3.973,3.295,2.235,1.474,1.29,6.909,5.35,91.5,69.4
gamma_1.0,2.747,10.901,3.941,3.295,2.235,1.474,0.51,7.857,15.42,91.5,69.4
sink_x0.5,2.781,10.901,3.953,3.316,2.257,1.469,0.845,6.945,8.22,91.3,67.9
sink_x2,2.684,10.901,3.973,3.262,2.202,1.481,0.788,8.589,10.9,91.1,70.3
alpha_lo,2.685,10.901,4.029,3.056,2.329,1.312,0.841,7.63,9.08,94.5,76.3
alpha_hi,2.812,10.901,3.877,3.537,2.142,1.651,0.806,7.252,9.0,87.9,64.0
kid_Tslow_x0.75,2.759,10.901,3.948,3.34,2.225,1.501,0.821,7.429,9.05,90.7,67.6
kid_Tslow_x1.25,2.736,10.901,3.971,3.254,2.248,1.448,0.824,7.478,9.08,92.1,71.2
tum_Tslow_x0.75,2.747,10.902,3.964,3.295,2.235,1.474,0.825,7.462,9.04,91.5,69.4
tum_Tslow_x1.25,2.747,10.901,3.962,3.295,2.235,1.474,0.824,7.462,9.05,91.5,69.4
